,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1510,1521,1500,-0.1,-0.7,62,118.0,23.921447631280056,-0.4541847296970589,182.4248614827758,10.829418089758596,21.334611418583975,Controller Detection,1500,1000,4.0,36.54263973236084
1,1486,1511,1522,1500,-0.1,-0.7,62,118.0,24.94146607397673,-0.507303619630899,190.6666183927108,11.261386546119413,22.260172055505407,Controller Detection,1500,1000,4.0,36.594635248184204
2,1488,1511,1521,1500,-0.1,-0.7,62,118.0,24.576953754226455,-0.47021059525587383,188.139023207819,11.123009574295326,21.92091266009268,Controller Detection,1500,1000,4.0,36.642634868621826
3,1613,1511,1522,1500,-0.1,-0.7,62,118.0,24.724719660317064,-0.5075676794677825,189.24210180635492,11.159397117573024,22.068920299888088,Controller Detection,1500,1000,4.0,36.68963432312012
4,1622,1511,1521,1500,-0.1,-0.7,62,118.0,24.3814062622091,-0.46907428243462523,186.0865264696833,11.032208892289335,21.74772100617035,Controller Detection,1500,1000,4.0,36.73663520812988
5,1620,1510,1521,1500,-0.2,-0.7,62,118.0,24.20964916136872,-0.429846545841783,184.85467275543218,10.986209853336181,21.577652180624113,Controller Detection,1500,1000,4.0,36.784629583358765
6,1612,1511,1521,1500,-0.2,-0.7,62,118.0,24.625979775931132,-0.46937260243335216,188.01667566261852,11.146765801067675,21.963806654144282,Controller Detection,1500,1000,4.0,36.838637828826904
7,1614,1511,1521,1500,0.0,-0.8,61,119.0,24.46209831288818,-0.53569617421546,186.98657727305098,11.39093016249186,21.65474392122218,Controller Detection,1500,1000,4.0,36.884629249572754
8,1618,1511,1520,1500,0.0,-0.8,61,119.0,23.726317994434005,-0.450751037296204,181.4117394102959,11.108511476492597,20.970033735005263,Controller Detection,1500,1000,4.0,36.945659160614014
9,1609,1512,1520,1500,1.6,0.6,58,122.0,24.41550978008388,-0.5325197683501799,187.6091833500292,12.486646602825633,20.987719069522498,Controller Detection,1500,1000,3.9,36.99165153503418
