,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1500,1500,1500,-1.5,-0.8,51,129.0,0.1157184281534541,1.4558600357751457,185.40601018060428,1.20423971370646,-0.8262722979222392,Controller Detection,1500,1000,3.9,3.776188850402832
1,1490,1500,1500,1500,-1.5,-0.8,51,129.0,0.04237242999265667,1.4455427380622474,188.21293249648724,1.1500635352112383,-0.8767799583506748,Controller Detection,1500,1000,3.9,3.828202486038208
2,1483,1500,1500,1500,-1.5,-0.8,51,129.0,0.10794263721805085,1.463361602194702,191.02115682825374,1.2051760619618297,-0.8370361111574631,Controller Detection,1500,1000,3.9,3.8757264614105225
3,1613,1500,1500,1500,-1.4,-0.8,51,129.0,0.14623084792388735,1.4052335445002806,182.84738185751695,1.1840976284112679,-0.770699410836788,Controller Detection,1500,1000,3.9,3.9207286834716797
4,1617,1500,1500,1500,-1.4,-0.8,51,129.0,0.010008053125303576,1.4431491709836102,188.03530222907307,1.127835821916352,-0.9004254825582776,Controller Detection,1500,1000,3.9,3.9672505855560303
5,1611,1500,1500,1500,-1.4,-0.8,51,129.0,0.17710317901767728,1.3924544545378974,185.44649918285194,1.1935949977324705,-0.7386649615140986,Controller Detection,1500,1000,3.9,4.020258903503418
6,1616,1500,1500,1500,-1.4,-0.8,51,129.0,0.1456773674375027,1.3769212017436088,187.600128035134,1.161746489022405,-0.7533120113463613,Controller Detection,1500,1000,3.9,4.08377480506897
7,1615,1500,1500,1500,0.0,-0.6,51,129.0,0.13189251562616142,1.3954849605659312,185.68464832696975,1.1674981508881566,-0.7757074052222467,Controller Detection,1500,1000,3.9,4.129785060882568
8,1616,1500,1500,1500,1.0,-0.4,52,128.0,0.010537149415436403,1.4492542483886999,184.33767323750155,1.1485152493953574,-0.8839466216332403,Controller Detection,1500,1000,3.9,4.1763014793396
9,1611,1500,1500,1500,1.2,-0.2,52,128.0,-0.07800895184371745,1.4764559905051395,187.57801609479026,1.1154360913644028,-0.9704689662982386,Controller Detection,1500,1000,3.9,4.224311351776123
10,1613,1500,1500,1500,1.4,-0.2,52,128.0,-0.29996657793097675,1.467026383675785,190.42178538463529,0.9713547002439253,-1.1395685168477176,Controller Detection,1500,1000,3.9,4.272732973098755
11,1623,1500,1500,1500,1.5,-0.2,53,127.0,-0.6332187773605635,1.4765221509406574,187.58811024686324,0.7981224479550584,-1.3943042136817407,Controller Detection,1500,1000,3.9,4.322726011276245
