,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,estimated_x,estimated_y,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,0,1500,1500,1500,-1.3,0.4,21,169.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,Controller Memory,1500,1500,4.1,35.14964771270752
1,1400,1500,1500,1500,-1.2,0.3,21,169.0,-4.544011783573688,2.496502575147526,373.9476943168795,0.0,0.0,-3.9841703403435784,-3.317673114714784,Controller Detection,1500,1500,4.1,35.22364687919617
2,1750,1501,1500,1500,-1.2,0.3,21,169.0,-4.752735814492664,2.5160662603254926,385.2404892963457,0.0,0.0,-4.185326595817745,-3.376703782544481,Controller Detection,1500,1500,4.1,35.307674407958984
3,1750,1501,1500,1500,-1.2,0.3,21,169.0,-4.572899954923304,2.4528789269358344,376.13764016460846,0.0,0.0,-4.020851539110388,-3.2803630787425146,Controller Detection,1500,1500,4.1,35.39865183830261
4,1750,1500,1500,1500,-1.2,0.3,21,169.0,-4.445683707161667,2.3480334123300923,360.2041300218759,0.0,0.0,-3.915978079443011,-3.1531698671119877,Controller Detection,1500,1500,4.1,35.47964859008789
5,1750,1500,1500,1500,-1.1,0.3,21,169.0,-4.544011783573688,2.496502575147526,373.9476943168795,0.0,0.0,-3.9841703403435784,-3.317673114714784,Controller Detection,1500,1500,4.1,35.556649684906006
6,1750,1501,1500,1500,-1.1,0.3,21,169.0,-1000.0,-1000.0,-1000.0,-4.637234786432218,2.637263400486331,-4.04882214240086,-3.4736355547533044,Controller Memory,1500,1500,4.1,35.629652976989746
7,1750,1501,1500,1500,-1.1,0.3,21,169.0,-4.752735814492664,2.5160662603254926,385.2404892963457,-4.637234786432218,2.637263400486331,-4.185326595817745,-3.376703782544481,Controller Detection,1500,1500,4.1,35.717650175094604
8,1750,1501,1500,1500,-1.1,0.3,21,169.0,-1000.0,-1000.0,-1000.0,-4.859998378529968,2.678025933141008,-4.259715081981617,-3.5561544620879504,Controller Memory,1500,1500,4.1,35.801647901535034
9,1750,1501,1500,1500,-1.1,0.3,21,169.0,-4.581667398146977,2.4587270526766893,367.4287137181301,-4.859998378529968,2.678025933141008,-4.028342024710631,-3.287776664975488,Controller Detection,1500,1500,4.1,35.871649980545044
