,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1757,1501,1506,1380,0.0,0.0,186.0,-0.31286575499140673,-0.07103110006953582,0.9154286933830048
1,1757,1501,1506,1380,0.0,0.0,186.0,-0.31286575499140673,-0.07103110006953582,0.9154286933830048
2,1769,1501,1506,1380,0.0,0.0,186.0,-0.3210169817343014,-0.0724722823614495,0.9383486291010443
3,1769,1501,1506,1380,0.0,0.0,186.0,-0.3210169817343014,-0.0724722823614495,0.9383486291010443
4,1757,1501,1506,1380,0.0,0.0,186.0,-0.31286575499140673,-0.07103110006953582,0.9154286933830048
5,1757,1501,1506,1380,0.0,0.0,186.0,-0.31286575499140673,-0.07103110006953582,0.9154286933830048
6,1769,1501,1506,1380,0.0,0.0,186.0,-0.3210169817343014,-0.0724722823614495,0.9383486291010443
7,1779,1501,1506,1380,0.0,0.0,186.0,-0.3287593075731971,-0.07445666021895994,0.9599518629021001
8,1789,1501,1506,1380,0.0,0.0,186.0,-0.3361793118090952,-0.07634657642132714,0.9795837505314093
9,1785,1501,1506,1380,0.0,0.0,186.0,-0.33361210752380593,-0.07626512637096923,0.970023397778482
10,1780,1501,1506,1380,0.0,0.0,186.0,-0.33162694024626427,-0.07585307713750897,0.9601593297673064
11,1780,1501,1506,1380,0.0,0.0,186.0,-0.33303070702836485,-0.0758522182060761,0.9601721096145018
12,1780,1501,1506,1380,0.0,0.0,186.0,-0.3353160365044778,-0.07667215592820788,0.960952453360299
13,1793,1501,1506,1380,0.0,0.0,186.0,-0.348064959361619,-0.07904483515167945,0.9869825043148016
14,1767,1502,1508,1380,0.0,0.0,186.0,-0.4398253316138861,-0.11033535831275346,0.9347127361121366
15,1777,1502,1509,1380,0.0,0.0,186.0,-0.4553110125217003,-0.11590259772949427,0.955828326706457
16,1769,1502,1509,1380,0.0,0.0,186.0,-0.4648161267406774,-0.12977851154821135,0.9392082957356959
17,1760,1502,1509,1380,0.0,0.0,186.0,-0.4618188455463225,-0.13632205167988803,0.9216335279869103
18,1767,1502,1509,1380,0.0,0.0,186.0,-0.47166611156140154,-0.14351018313824473,0.9358635094337078
19,1779,1503,1509,1380,0.0,0.0,186.0,-0.4864668172208499,-0.15304889483652775,0.9597220797234378
20,1760,1503,1509,1380,0.0,0.0,186.0,-0.4679935566706995,-0.15277794397876787,0.9205687379176617
21,1875,1505,1505,1875,-2.0,1.0,24.0,-0.26666769826193953,-0.2655297886736077,1.2311009197375788
