,rc_th,rc_r ,rc_p ,rc_y ,sen_r,sen_p,sen_y,cam_x,cam_y,cam_z
0,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.24182086518759885,-0.01932063217274557,0.6032263583937063
1,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.24182086518759885,-0.01932063217274557,0.6032263583937063
2,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.2384389249263651,-0.019206782412298017,0.5937223388595134
3,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.23813097357470273,-0.019197291739836836,0.5934386253668437
4,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.23813097357470273,-0.019197291739836836,0.5934386253668437
5,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.2373302527013627,-0.0184994669140377,0.5909456879031345
6,1875,1500,1504,1000,-1.0,-1.0,216.0,-0.23752842831790671,-0.019136190911177426,0.5909016987739074
7,1875,1500,1504,1000,0.0,-1.0,215.0,-0.23832590783835284,-0.020306283155211012,0.5949910668788216
8,1875,1500,1504,1000,0.0,-1.0,212.0,-0.23375313738331358,-0.021651812770356646,0.5857507539130516
9,1875,1500,1504,1000,0.0,-1.0,208.0,-0.230105503879846,-0.023121589607905658,0.5783103684463962
10,1875,1500,1504,1080,0.0,0.0,201.0,-0.22418092811704957,-0.025066272299437743,0.5655091894053913
11,1875,1500,1504,1080,0.0,0.0,201.0,-0.2125017636361831,-0.026848347876921985,0.5395446980897618
12,1875,1500,1504,1220,1.0,-1.0,194.0,-0.2018216939398686,-0.02807317805494267,0.515252019854768
13,1875,1500,1503,1360,0.0,-1.0,187.0,-0.19512851134168138,-0.03444595974029979,0.5043777422952588
