,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1500,1499,1500,0.3,-0.8,52,128.0,-0.6322676799869545,0.7308630531227704,187.35385321306117,0.1866650926130844,-0.9481979565342736,Controller Detection,1500,1000,3.9,30.641083478927612
1,1493,1500,1499,1500,0.2,-0.8,52,128.0,-0.677240876079992,0.7386966841578722,190.72352081287318,0.1651498138517824,-0.9884601835198785,Controller Detection,1500,1000,3.9,30.687085390090942
2,1487,1500,1499,1500,0.2,-0.8,52,128.0,-0.670936948909817,0.7570993773639506,187.66898044962596,0.18353241909543289,-0.9948224503690468,Controller Detection,1500,1000,3.9,30.737083673477173
3,1612,1500,1498,1500,0.2,-0.8,52,128.0,-0.7025390018307418,0.7393314466397687,190.24067157718588,0.15007493209082223,-1.0087861774636504,Controller Detection,1500,1000,3.9,30.78608250617981
4,1622,1500,1498,1500,0.2,-0.8,52,128.0,-0.7046699684339558,0.760406745794846,188.07869539923908,0.16537054041769744,-1.0234406518333041,Controller Detection,1500,1000,3.9,30.833086729049683
5,1624,1500,1498,1500,0.2,-0.8,52,128.0,-0.7025390018307418,0.7393314466397687,190.24067157718588,0.15007493209082223,-1.0087861774636504,Controller Detection,1500,1000,3.9,30.88109278678894
6,1624,1500,1499,1500,0.2,-0.8,52,128.0,-0.677240876079992,0.7386966841578722,190.72352081287318,0.1651498138517824,-0.9884601835198785,Controller Detection,1500,1000,3.9,30.946115732192993
7,1629,1500,1499,1500,0.2,-0.8,52,128.0,-0.6699863050642926,0.7594800667313524,187.41812134891862,0.18599370271038757,-0.9955390315241501,Controller Detection,1500,1000,3.9,30.993117094039917
8,1625,1500,1498,1500,0.5,-0.9,50,130.0,-0.6699863050642926,0.7594800667313524,187.41812134891862,0.15113658922418988,-1.0014236626591373,Controller Detection,1500,1000,3.9,31.040116548538208
9,1619,1500,1499,1500,0.5,-0.9,50,130.0,-0.6695797253508998,0.693245414032301,187.27223532746595,0.10065924598428494,-0.9585373904421663,Controller Detection,1500,1000,3.9,31.0881085395813
10,1618,1500,1498,1500,0.8,-0.2,48,132.0,-0.7387830744811754,0.6741530034735321,190.31484492990174,0.006650949516148752,-1.000119226943856,Controller Detection,1500,1000,3.9,31.137112617492676
11,1623,1500,1498,1500,0.8,-0.2,48,132.0,-0.7993806131859912,0.7349195343603754,189.74633411747413,0.011261614689510813,-1.0858127199276435,Controller Detection,1500,1000,3.9,31.186108827590942
12,1627,1499,1498,1500,1.4,0.1,46,134.0,-0.9249989441910969,0.7349352999826093,189.74792273239794,-0.11389004729676355,-1.1759175137066007,Controller Detection,1500,1000,3.9,31.234113931655884
13,1627,1499,1498,1500,1.4,0.1,46,134.0,-1.1091783869978682,0.7946938778551547,189.02600679288162,-0.19884511543360295,-1.349916913647597,Controller Detection,1500,1000,3.9,31.291117906570435
14,1626,1499,1498,1500,2.2,0.5,46,134.0,-1.3657708716701316,0.8748274949601731,185.52339995451348,-0.31944593257932485,-1.590159588217299,Controller Detection,1500,1000,3.9,31.34510850906372
15,1619,1499,1498,1500,2.2,0.5,46,134.0,-1.6477793291110074,0.9552138130483052,183.3641120550356,-0.457520390077383,-1.8488605244169303,Controller Detection,1500,1000,3.9,31.394110918045044
