,rc_th,rc_r,rc_p,rc_y,sen_roll,sen_pitch,sen_yaw,relative_yaw,cam_x,cam_y,cam_z,drone_error_x,drone_error_y,mode,AUX2,AUX3,Battery,time step
0,1200,1500,1500,1500,0.6,-0.2,9,171.0,11.074797437044348,-50.5586318102303,181.34520058791932,3.0293357826222334,51.66865116789987,Controller Detection,1500,1000,3.8,8.282685041427612
1,1484,1500,1500,1500,0.6,-0.2,9,171.0,10.925875963682262,-49.7126449746749,178.3621129314848,3.0145892777694394,50.809783383106414,Controller Detection,1500,1000,3.8,8.327688932418823
2,1469,1500,1500,1500,0.6,-0.2,9,171.0,10.925875963682262,-49.7126449746749,178.3621129314848,3.0145892777694394,50.809783383106414,Controller Detection,1500,1000,3.8,8.389911413192749
3,1576,1500,1500,1500,0.6,-0.2,9,171.0,11.074797437044348,-50.5586318102303,181.34520058791932,3.0293357826222334,51.66865116789987,Controller Detection,1500,1000,3.8,8.435909509658813
4,1590,1500,1500,1500,0.7,-0.3,9,171.0,11.275128550138703,-51.71898640720951,185.5452063130074,3.045681036648558,52.846058564800025,Controller Detection,1500,1000,3.8,8.48346209526062
5,1603,1500,1500,1500,0.7,-0.3,9,171.0,11.074797437044348,-50.5586318102303,181.34520058791932,3.0293357826222334,51.66865116789987,Controller Detection,1500,1000,3.8,8.532470226287842
6,1605,1500,1500,1500,0.7,-0.3,9,171.0,10.918510056022617,-50.01438933894832,179.23436588732685,2.960110838452091,51.10666049171529,Controller Detection,1500,1000,3.8,8.580092191696167
7,1595,1500,1500,1500,0.7,-0.2,9,171.0,10.899982257480977,-49.93714409791312,178.95794663558863,2.953894965813861,51.027467881525126,Controller Detection,1500,1000,3.8,8.629101991653442
8,1590,1500,1500,1500,0.6,-0.2,9,171.0,11.276948996002785,-51.396754637010815,184.14200939108756,3.0978872243931974,52.52807878288032,Controller Detection,1500,1000,3.8,8.677727699279785
9,1597,1500,1500,1500,0.6,-0.2,9,171.0,11.289681283288687,-51.5562882144168,184.82756763343556,3.0855062062571292,52.68764000576796,Controller Detection,1500,1000,3.8,8.723735332489014
10,1607,1500,1500,1500,0.6,-0.2,9,171.0,11.103272740785801,-50.73632199358227,181.77128190295633,3.029663639347005,51.84860820914247,Controller Detection,1500,1000,3.8,8.787288665771484
11,1605,1500,1500,1500,0.6,-0.2,9,171.0,11.289681283288687,-51.5562882144168,184.82756763343556,3.0855062062571292,52.68764000576796,Controller Detection,1500,1000,3.8,8.834282159805298
12,1604,1500,1500,1500,0.6,-0.2,9,171.0,11.103272740785801,-50.73632199358227,181.77128190295633,3.029663639347005,51.84860820914247,Controller Detection,1500,1000,3.8,8.884844779968262
13,1604,1500,1500,1500,0.6,-0.2,9,171.0,10.69290103176087,-49.122808804443494,176.04368317731695,2.8767533596112633,50.190763766064656,Controller Detection,1500,1000,3.8,8.93184757232666
14,1591,1500,1500,1500,0.6,-0.2,10,170.0,11.287887976875808,-51.49609595214041,184.30003752761155,2.1741963757100162,52.67387572042139,Controller Detection,1500,1000,3.8,8.99041199684143
15,1592,1500,1500,1500,0.6,-0.2,10,170.0,11.098790940495732,-50.75123349920323,181.724380616682,2.117316155776347,51.90749304607156,Controller Detection,1500,1000,3.8,9.037423849105835
16,1603,1500,1500,1500,0.6,-0.2,10,170.0,10.914616492615949,-49.99649105029845,179.16382998672884,2.0669993824577837,51.132235273615564,Controller Detection,1500,1000,3.8,9.087823629379272
17,1595,1500,1500,1500,0.6,-0.2,10,170.0,11.103272740785801,-50.73632199358227,181.77128190295633,2.1243192232268093,51.893586336179986,Controller Detection,1500,1000,3.8,9.13282060623169
18,1594,1500,1500,1500,0.6,-0.2,10,170.0,11.207104098712128,-51.373630920886825,183.95833959997273,2.1159056156811396,52.53924323494199,Controller Detection,1500,1000,3.8,9.189967393875122
19,1602,1500,1500,1500,0.6,-0.2,10,170.0,10.887096956684763,-49.924449658244136,178.7577521539314,2.0524077865602752,51.056509634918,Controller Detection,1500,1000,3.8,9.238970518112183
20,1599,1500,1500,1500,0.6,-0.2,10,170.0,10.887096956684763,-49.924449658244136,178.7577521539314,2.0524077865602752,51.056509634918,Controller Detection,1500,1000,3.8,9.286210298538208
21,1590,1500,1500,1500,0.6,-0.2,10,170.0,11.098790940495732,-50.75123349920323,181.724380616682,2.117316155776347,51.90749304607156,Controller Detection,1500,1000,3.8,9.33922791481018
22,1593,1500,1500,1500,0.6,-0.2,9,171.0,10.887096956684763,-49.924449658244136,178.7577521539314,2.943154152330984,51.012914026336745,Controller Detection,1500,1000,3.8,9.391305685043335
23,1594,1500,1500,1500,0.6,-0.2,9,171.0,10.794394228647118,-49.4620177734422,177.1527100985276,2.923933033223377,50.5416735437301,Controller Detection,1500,1000,3.8,9.44731616973877
24,1587,1500,1500,1500,0.6,-0.2,9,171.0,10.713772534978883,-49.24586667183993,176.3796840072516,2.8781174083352354,50.31557160935111,Controller Detection,1500,1000,3.8,9.501874208450317
25,1583,1500,1500,1500,0.6,-0.3,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,9.550872087478638
26,1588,1500,1500,1500,0.6,-0.3,9,171.0,10.919220447798262,-50.07580942384555,179.24594682721272,2.9512042660025246,51.167435523204034,Controller Detection,1500,1000,3.8,9.599419116973877
27,1594,1500,1500,1500,0.6,-0.3,9,171.0,11.216477085393443,-51.45718510170829,184.14429160968047,3.0287064159337564,52.57830535729263,Controller Detection,1500,1000,3.8,9.651413679122925
28,1599,1500,1500,1500,0.6,-0.3,9,171.0,11.098790940495732,-50.75123349920323,181.724380616682,3.02290434405087,51.86263502135421,Controller Detection,1500,1000,3.8,9.696547031402588
29,1599,1500,1500,1500,0.6,-0.3,9,171.0,-1000.0,-1000.0,-1000.0,-1144.1228056353686,831.2538755549067,Controller Memory,1500,1000,3.8,9.740542650222778
30,1604,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,9.786860942840576
31,1599,1500,1500,1500,0.6,-0.2,9,171.0,10.887096956684763,-49.924449658244136,178.7577521539314,2.943154152330984,51.012914026336745,Controller Detection,1500,1000,3.8,9.83284854888916
32,1595,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,9.881500482559204
33,1594,1500,1500,1500,0.6,-0.2,9,171.0,10.952480967107151,-49.92490309221913,178.80812411786005,3.0076622443852177,51.023590190479695,Controller Detection,1500,1000,3.8,9.92950177192688
34,1594,1500,1500,1500,0.6,-0.2,9,171.0,10.653459312319923,-48.79154665837625,174.4928559437818,2.8896180497945236,49.857409962432506,Controller Detection,1500,1000,3.8,9.990725755691528
35,1584,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,10.038726806640625
36,1586,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,10.091285705566406
37,1598,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,10.142281293869019
38,1599,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,10.190834045410156
39,1599,1500,1500,1500,0.6,-0.2,9,171.0,10.926300592642395,-49.831200831167685,178.37200357350986,2.996462456854606,50.92694604687783,Controller Detection,1500,1000,3.8,10.238835573196411
40,1594,1500,1500,1500,0.6,-0.2,9,171.0,10.66626559298007,-48.66621567636271,174.1411711640815,2.9218727490131924,49.73562535644662,Controller Detection,1500,1000,3.8,10.287383079528809
41,1583,1500,1500,1500,0.6,-0.2,9,171.0,11.075158246737404,-50.67880109542141,181.3538462969898,3.0108935323061,51.78739741285209,Controller Detection,1500,1000,3.8,10.33437705039978
42,1585,1500,1500,1500,0.5,-0.2,8,172.0,10.946683339720767,-49.98614880378791,178.77154632020645,3.883423635876383,51.02317090537264,Controller Detection,1500,1000,3.8,12.093760013580322
43,1594,1500,1500,1500,0.5,-0.2,8,172.0,10.567376974544171,-48.85905739799873,174.43240664203864,3.664669460180691,49.854259032611054,Controller Detection,1500,1000,3.8,12.14075493812561
44,1584,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.187337875366211
45,1590,1500,1500,1500,0.5,-0.2,7,173.0,10.880165153364068,-50.02130625357175,178.63666946250936,4.703002302802928,50.97441360543468,Controller Detection,1500,1000,3.8,12.235332727432251
46,1599,1500,1500,1500,0.5,-0.2,7,173.0,10.897823093524341,-49.810135374156175,177.9843645507156,4.746263879775585,50.766968723305254,Controller Detection,1500,1000,3.8,12.282953023910522
47,1590,1500,1500,1500,0.5,-0.2,7,173.0,10.951154615575463,-50.07728306337674,178.8364850450463,4.766640763271088,51.03862461173617,Controller Detection,1500,1000,3.8,12.331976652145386
48,1589,1500,1500,1500,0.5,-0.2,7,173.0,11.158226477793356,-50.892097475563304,181.69577365934293,4.872868245818432,51.87260123274,Controller Detection,1500,1000,3.8,12.388515710830688
49,1595,1500,1500,1500,0.5,-0.2,7,173.0,10.780919598910472,-49.46193064026599,176.48256441621612,4.672667248372928,50.4071125025689,Controller Detection,1500,1000,3.8,12.438513994216919
50,1592,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.487073183059692
51,1595,1500,1500,1500,0.5,-0.2,8,172.0,11.050631733321909,-50.701730381788124,180.95491758341242,3.8867707036563885,51.746255312923246,Controller Detection,1500,1000,3.8,12.536072492599487
52,1603,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.583636999130249
53,1603,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.634633779525757
54,1609,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.68321442604065
55,1610,1500,1500,1500,0.5,-0.2,8,172.0,11.210999550143478,-51.28028588353858,183.0143893877779,3.965058468652469,52.341499238662735,Controller Detection,1500,1000,3.8,12.732221841812134
56,1608,1500,1500,1500,0.5,-0.2,8,172.0,11.141643383798188,-50.868135287583755,181.41177959474456,3.953737548251971,51.923707151234886,Controller Detection,1500,1000,3.8,12.790751457214355
57,1603,1500,1500,1500,0.5,-0.2,8,172.0,11.141643383798188,-50.868135287583755,181.41177959474456,3.953737548251971,51.923707151234886,Controller Detection,1500,1000,3.8,12.840759038925171
58,1600,1500,1500,1500,0.5,-0.2,8,172.0,11.281739796865528,-51.58136330987611,184.19790003173196,3.9932083971037464,52.64949173968267,Controller Detection,1500,1000,3.8,12.88530445098877
59,1604,1500,1500,1500,0.6,-0.2,8,172.0,10.949682333497533,-50.1742250118304,178.82122107372484,3.8602182945617853,51.20983414795079,Controller Detection,1500,1000,3.8,12.933317184448242
60,1601,1500,1500,1500,0.6,-0.2,8,172.0,10.987574848307055,-50.00464274668093,178.41506664347648,3.9213433317306583,51.047175864537614,Controller Detection,1500,1000,3.8,12.98993706703186
61,1591,1500,1500,1500,0.6,-0.2,8,172.0,11.103428787143637,-50.974690322691266,181.77954769700048,3.9010652587663097,52.023906756147134,Controller Detection,1500,1000,3.8,13.03793454170227
62,1595,1500,1500,1500,0.6,-0.2,8,172.0,10.739165927280592,-48.950375961097734,174.41438795462722,3.8220774870364167,49.96859729099436,Controller Detection,1500,1000,3.8,13.08854365348816
63,1590,1500,1500,1500,0.6,-0.2,8,172.0,11.282092246735651,-51.64431658838468,184.20929085749904,3.9847960139703194,52.71188141275366,Controller Detection,1500,1000,3.8,13.136543989181519
64,1592,1500,1500,1500,0.6,-0.2,8,172.0,11.518579324271535,-52.779933556021334,188.0263026218489,4.060934280635258,53.86935927404302,Controller Detection,1500,1000,3.8,13.189148902893066
65,1614,1500,1500,1500,0.6,-0.2,8,172.0,11.200817660563475,-51.26374496844803,182.84064050769499,3.9572777189678083,52.323702253474316,Controller Detection,1500,1000,3.8,13.246147871017456
